Year,Month,Day,hour,DBT,DP,RH,GHR,DNR,DHR
1994,1,21,15,27.8,16.7,51,565,409,283
1994,1,21,16,27.1,16.7,53,366,227,243
1994,1,21,17,26.4,17.2,57,198,150,146
1994,1,21,18,25.7,18.1,63,48,53,41
1994,1,21,19,25.1,18.5,67,0,0,0
1994,1,21,20,24.8,18.9,70,0,0,0
1994,1,21,21,24.3,20,77,0,0,0
1994,1,21,22,23.8,20.5,82,0,0,0
1994,1,21,23,23.7,20.4,82,0,0,0
1994,1,21,24,22.6,20.3,87,0,0,0
1994,1,22,1,22.3,20.6,90,0,0,0
1994,1,22,2,21.6,20.8,95,0,0,0
1994,1,22,3,21.4,20.7,96,0,0,0
1994,1,22,4,21.1,20.4,96,0,0,0
1994,1,22,5,20.9,20.4,97,0,0,0
1994,1,22,6,20.7,20.2,97,0,0,0
1994,1,22,7,20.6,20.1,97,6,112,4
1994,1,22,8,21.1,20.6,97,120,223,76
1994,1,22,9,23.6,21.7,89,307,348,164
1994,1,22,10,26.5,18.4,61,524,537,205
1994,1,22,11,28,16.3,49,710,689,207
1994,1,22,12,28.2,15.1,45,829,779,197
1994,1,22,13,28.6,15.5,45,817,698,235
1994,1,22,14,28.7,15.2,44,762,662,237
1994,1,22,15,28.3,14.5,43,639,594,227
1994,1,22,16,27.5,15.8,49,458,481,198
1994,1,22,17,27.7,18.1,56,250,324,137
1994,1,22,18,26.2,18.3,62,70,172,48
1994,1,22,19,25.8,19,66,0,0,0
1994,1,22,20,25.7,19.1,67,0,0,0
1994,1,22,21,25.7,19.6,69,0,0,0
1994,1,22,22,25.7,20.5,73,0,0,0
1994,1,22,23,25.4,20.6,75,0,0,0
1994,1,22,24,25.2,20.9,77,0,0,0
1994,1,23,1,25.2,20.9,77,0,0,0
1994,1,23,2,25.3,21.2,78,0,0,0
1994,1,23,3,25.2,21.1,78,0,0,0
1994,1,23,4,25,21.7,82,0,0,0
1994,1,23,5,24.6,22.9,90,0,0,0
1994,1,23,6,25,22.3,85,0,0,0
1994,1,23,7,25.3,21.2,78,6,51,5
1994,1,23,8,25.8,21.2,76,95,102,75
1994,1,23,9,26.8,21.3,72,253,177,180
1994,1,23,10,27.5,20.6,66,407,227,273
1994,1,23,11,28.2,20.5,63,544,287,335
1994,1,23,12,28.4,18.8,56,645,353,358
1994,1,23,13,29.1,17.9,51,676,378,360
1994,1,23,14,29.3,17.8,50,625,344,352
1994,1,23,15,29,15.5,44,531,321,308
1994,1,23,16,28.3,16.2,48,424,370,222
1994,1,23,17,27.5,18.5,58,274,422,127
1994,1,23,18,26.2,19.6,67,88,323,46
1994,1,23,19,25.6,19,67,0,0,0
1994,1,23,20,25.4,20.6,75,0,0,0
1994,1,23,21,25.1,20.6,76,0,0,0
1994,1,23,22,24.2,21.9,87,0,0,0
1994,1,23,23,23.4,22.4,94,0,0,0
1994,1,23,24,23,22.3,96,0,0,0
1994,1,24,1,22.8,22.1,96,0,0,0
1994,1,24,2,22.5,21.8,96,0,0,0
1994,1,24,3,22.1,21.9,99,0,0,0
1994,1,24,4,22,21.8,99,0,0,0
1994,1,24,5,21.6,21.4,99,0,0,0
1994,1,24,6,21.6,21.4,99,0,0,0
1994,1,24,7,21.6,21.4,99,6,144,4
1994,1,24,8,21.8,21.1,96,130,288,74
1994,1,24,9,23.5,18.1,72,338,466,146
1994,1,24,10,26.9,17.4,56,542,589,192
